Date,Gold,WTI,Heat_Oil,Natural_Gas,Silver,US_Coffee,US_Corn,Wheat,Copper,Platinum,Cocoa
4/1/2014,1295.60,99.74,2.13,4815.00,19119.00,203.05,514.00,721.50,30300.00,935.30,1413.00
5/1/2014,1245.60,102.71,2.08,4542.00,18653.00,177.50,465.75,628.13,31360.00,894.50,1404.00
6/1/2014,1321.80,105.37,1.68,4461.00,21007.00,173.00,424.25,576.75,31880.00,897.90,1479.00
7/1/2014,1281.30,98.17,1.64,3841.00,20373.00,195.05,357.00,530.38,32230.00,883.00,1452.00
8/1/2014,1285.80,95.96,1.45,4065.00,19398.00,195.75,359.00,563.38,31350.00,861.30,1422.00
9/1/2014,1210.50,91.16,1.43,4121.00,17006.00,193.35,320.75,478.63,30060.00,868.60,1492.00
10/1/2014,1171.10,80.54,1.62,3873.00,16077.00,188.00,376.75,531.25,30610.00,867.60,1613.00
11/1/2014,1175.20,66.15,1.45,4088.00,15489.00,186.65,375.75,578.38,28600.00,866.10,1730.00
12/1/2014,1335.40,53.27,1.35,2889.00,15565.00,166.60,397.00,589.88,28380.00,873.80,1525.00
1/1/2015,1384.60,48.24,1.25,2691.00,17192.00,161.90,370.00,503.25,25280.00,859.70,1547.00
2/1/2015,1309.40,49.76,1.42,2734.00,16513.00,136.75,384.50,512.00,27160.00,872.30,1651.00
3/1/2015,1272.20,47.60,1.46,2640.00,16581.00,132.90,376.25,512.88,27470.00,833.00,1469.00
4/1/2015,1273.00,59.63,1.39,2751.00,16124.00,136.55,362.50,475.38,28860.00,861.50,1453.00
5/1/2015,1280.70,60.30,1.12,2642.00,16684.00,126.15,351.50,477.88,27600.00,868.10,1686.00
6/1/2015,1270.80,59.47,1.17,2832.00,15551.00,130.65,414.00,616.63,26230.00,817.90,1645.00
7/1/2015,1183.10,47.12,1.02,2716.00,14746.00,125.25,371.00,498.13,23680.00,782.00,1341.00
8/1/2015,1216.90,49.20,1.00,2689.00,14577.00,120.55,363.75,485.38,23380.00,829.20,1465.00
9/1/2015,1183.60,45.09,0.94,2524.00,14513.00,121.35,387.75,512.25,23450.00,794.20,1413.00
10/1/2015,1195.20,46.59,0.90,2321.00,15566.00,120.95,382.25,522.13,23130.00,900.20,1549.00
11/1/2015,1123.90,41.65,0.94,2235.00,14050.00,116.90,365.00,475.63,20450.00,887.40,1570.00
12/1/2015,1121.00,37.04,0.92,2337.00,13775.00,126.70,358.75,469.38,21260.00,830.30,1520.00
